,Unnamed: 0,City,Country,Latitude,Longitude,year,Value,Date,Time,Min,TimeNew,VAL_0,continent
6133,6133,Smolensk,Russian Federation,54.7818,32.0401,1200,35000,/01/01,1200/01/01, 00:00:00,1200/01/01 00:00:00,0.0015163129999999998,Europe
6134,6134,Veliko Tarnovo,Bulgaria,43.083333,25.65,1200,35000,/01/01,1200/01/01, 00:00:00,1200/01/01 00:00:00,0.0015163129999999998,Europe
6131,6131,Naples,Italy,40.851775,14.268122,1200,35000,/01/01,1200/01/01, 00:00:00,1200/01/01 00:00:00,0.0015163129999999998,Europe
6129,6129,Bologna,Italy,44.49381,11.33875,1200,35000,/01/01,1200/01/01, 00:00:00,1200/01/01 00:00:00,0.0015163129999999998,Europe
6130,6130,Messina,Italy,38.19327,15.54969,1200,35000,/01/01,1200/01/01, 00:00:00,1200/01/01 00:00:00,0.0015163129999999998,Europe
6374,6374,Verona,Italy,45.43419,10.99779,1200,33000,/01/01,1200/01/01, 00:00:00,1200/01/01 00:00:00,0.0014293560000000001,Europe
6479,6479,Multan,Pakistan,30.19556,71.47528,1200,32000,/01/01,1200/01/01, 00:00:00,1200/01/01 00:00:00,0.0013858770000000002,Asia
6480,6480,Toledo,Spain,39.862831,-4.027322,1200,32000,/01/01,1200/01/01, 00:00:00,1200/01/01 00:00:00,0.0013858770000000002,Europe
6557,6557,Narbonne,France,43.18333,3,1200,31000,/01/01,1200/01/01, 00:00:00,1200/01/01 00:00:00,0.001342399,Europe
6699,6699,Kiev,Ukraine,50.45466,30.5238,1200,30000,/01/01,1200/01/01, 00:00:00,1200/01/01 00:00:00,0.00129892,Europe
6703,6703,Thessaloniki,Greece,40.63935,22.944606,1200,30000,/01/01,1200/01/01, 00:00:00,1200/01/01 00:00:00,0.00129892,Europe
6702,6702,Speyer,Germany,49.320478,8.436217,1200,30000,/01/01,1200/01/01, 00:00:00,1200/01/01 00:00:00,0.00129892,Europe
6701,6701,Nadiya,India,23.501389,73.960963,1200,30000,/01/01,1200/01/01, 00:00:00,1200/01/01 00:00:00,0.00129892,Asia
6700,6700,Liaoyang,China,41.266667,123.183333,1200,30000,/01/01,1200/01/01, 00:00:00,1200/01/01 00:00:00,0.00129892,Asia
6696,6696,Genova,Italy,44.40565,8.946256,1200,30000,/01/01,1200/01/01, 00:00:00,1200/01/01 00:00:00,0.00129892,Europe
6698,6698,Kerman,Iran,30.28321,57.07879,1200,30000,/01/01,1200/01/01, 00:00:00,1200/01/01 00:00:00,0.00129892,Asia
6697,6697,Kaesong,North Korea,37.97083,126.55444,1200,30000,/01/01,1200/01/01, 00:00:00,1200/01/01 00:00:00,0.00129892,Asia
